"TermTested","TermRostered","DistrictName","SchoolName","Teacher","ClassName","Subject","Course","ASGType","NormsReferenceData","GrowthComparisonPeriod","WIStartTerm","WIEndTerm","OptionalGroupingCategory","OptionGroupingGroup","StudentID","StudentLastName","StudentFirstName","StudentMiddleInitial","StudentGrade","TestDate","StartRIT","StartRITSEM","StartPercentile","StartPercentileSE","StartTestDuration","EndTestDate","EndRIT","EndRITSEM","EndPercentile","EndPercentileSE","EndTestDuration","ProjectedRIT","ProjectedGrowth","ObservedGrowth","ObservedGrowthSE","GrowthIndex","MetGrowthProjection?","ConditionalGrowthIndex","ConditionalGrowthPercentile","PercentageofStudentswhoMetorExceededtheirProjectedRIT","PercentageofProjectedGrowthMet","CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","CountofStudentswhoMetorExceededtheirProjectedGrowth","MedianConditionalGrowthPercentile","OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedRIT","OptionalGroupingOverallPercentageofProjectedRITMet","OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth","OptionalGroupingMedianConditionalGrowthPercentile","StartGrowthandAchievement","EndGrowthandAchievement","ConditionalGrowthPercentileAxis","AchievementPercentileAxis"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2522304198","ALLEN","Victor","A","1","9/15/","140","3.37","10","4.0","105","5/15/","135","3.58","5","1.5","57","150.00","10","-5","4.5","-15","No","-3.33","1","60.5","198.0","24","15","58","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2594970119","ALLEN","Zoe","T","1","9/2/","145","3.56","18","6.7","42","5/11/","146","3.28","20","5.5","77","158.00","13","1","4.4","-12","No","-2.73","1","76.6","190.6","19","15","40","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2524636981","CAO","Amber","W","1","9/6/","166","3.41","72","7.9","59","5/17/","166","3.27","72","8.6","50","175.00","9","0","4.6","-9","No*","-1.96","11","47.8","134.0","24","11","67","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2522762205","CHENG","Claire","Y","1","9/7/","178","3.27","92","2.7","83","5/13/","191","3.28","99","2.2","39","190.00","12","13","4.5","1","Yes*","0.22","54","79.5","139.6","22","17","75","","","","","","High-G/High-A","High-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2585776373","CLARK","Thomas","G","1","9/14/","160","3.53","56","5.7","83","5/10/","167","3.46","74","5.1","76","171.00","11","7","4.9","-4","No","-0.82","34","72.2","191.0","15","11","49","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2529804386","GAO","Ryan","E","1","9/10/","166","3.25","72","8.3","98","5/20/","175","3.26","89","3.5","54","177.00","11","9","5.2","-2","No*","-0.38","42","71.1","132.2","23","16","42","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2514114726","GARCIA","Calvin","G","1","9/11/","157","3.49","47","5.7","119","5/7/","160","3.26","56","6.1","50","166.00","9","3","4.7","-6","No","-1.28","24","52.9","156.4","16","8","46","","","","","","Low-G/Low-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2527013243","HU","Diana","C","1","9/1/","158","3.43","50","8.8","76","5/15/","162","3.42","61","6.7","33","167.00","9","4","4.3","-5","No*","-1.16","27","61.4","192.2","25","15","36","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2599300492","HUANG","Crystal","K","1","","","","","","","5/2/","154","3.23","39","7.2","109","","","","","","","","","64.6","159.7","25","16","63","","","","","","","Low-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2510819505","LEWIS","Leo","Y","1","9/6/","165","3.3","69","7.6","62","5/17/","175","3.57","89","2.8","103","176.00","11","10","4.7","-1","No*","-0.21","46","57.3","148.1","21","12","72","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2551827259","LEWIS","May","W","1","9/10/","168","3.21","76","4.2","47","5/2/","170","3.57","80","5.4","98","178.00","10","2","4.9","-8","No","-1.63","17","52.5","160.3","22","12","59","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Spring 2025-2026","Spring 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Spring 2026","4","4","NONE","","2513460153","REN","Kevin","H","1","9/6/","166","3.25","72","7.1","46","5/14/","167","3.54","74","8.5","96","177.00","11","1","4.3","-10","No","-2.33","3","63.6","134.0","22","14","62","","","","","","Low-G/High-A","Low-G/High-A","50","50"
