"TermTested","TermRostered","DistrictName","SchoolName","Teacher","ClassName","Subject","Course","ASGType","NormsReferenceData","GrowthComparisonPeriod","WIStartTerm","WIEndTerm","OptionalGroupingCategory","OptionGroupingGroup","StudentID","StudentLastName","StudentFirstName","StudentMiddleInitial","StudentGrade","TestDate","StartRIT","StartRITSEM","StartPercentile","StartPercentileSE","StartTestDuration","EndTestDate","EndRIT","EndRITSEM","EndPercentile","EndPercentileSE","EndTestDuration","ProjectedRIT","ProjectedGrowth","ObservedGrowth","ObservedGrowthSE","GrowthIndex","MetGrowthProjection?","ConditionalGrowthIndex","ConditionalGrowthPercentile","PercentageofStudentswhoMetorExceededtheirProjectedRIT","PercentageofProjectedGrowthMet","CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","CountofStudentswhoMetorExceededtheirProjectedGrowth","MedianConditionalGrowthPercentile","OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedRIT","OptionalGroupingOverallPercentageofProjectedRITMet","OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth","OptionalGroupingMedianConditionalGrowthPercentile","StartGrowthandAchievement","EndGrowthandAchievement","ConditionalGrowthPercentileAxis","AchievementPercentileAxis"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2522304198","ALLEN","Victor","A","1","9/3/","147","3.48","22","4.6","41","1/14/","156","3.22","44","8.3","33","153.00","6","9","4.1","3","Yes","0.73","65","78.5","171.9","21","16","37","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2594970119","ALLEN","Zoe","T","1","9/4/","143","3.39","14","3.3","111","1/24/","150","3.41","28","4.9","39","147.00","4","7","4.9","3","Yes*","0.61","62","66.7","111.2","20","13","66","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2524636981","CAO","Amber","W","1","9/6/","159","3.2","53","4.2","95","1/16/","171","3.36","82","8.9","82","165.00","6","12","4.2","6","Yes*","1.43","79","50.6","136.3","21","11","45","","","","","","High-G/High-A","High-G/High-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2522762205","CHENG","Claire","Y","1","","","","","","","1/9/","186","3.37","98","2.6","59","","","","","","","","","67.8","82.1","25","17","45","","","","","","","High-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2585776373","CLARK","Thomas","G","1","9/13/","154","3.56","39","7.7","31","1/28/","161","3.41","58","6.7","32","158.00","4","7","4.3","3","Yes*","0.7","64","62.2","199.7","24","15","62","","","","","","High-G/Low-A","High-G/High-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2529804386","GAO","Ryan","E","1","9/14/","167","3.36","74","7.6","63","1/27/","165","3.26","69","5.1","64","169.00","2","-2","5.4","-4","No","-0.74","35","68.8","156.1","19","13","52","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2514114726","GARCIA","Calvin","G","1","9/3/","142","3.45","13","3.3","110","1/23/","149","3.25","26","6.7","81","147.00","5","7","5.4","2","Yes","0.37","57","66.8","104.6","20","13","69","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2527013243","HU","Diana","C","1","","","","","","","1/20/","165","3.44","69","7.6","62","","","","","","","","","59.0","127.4","15","9","65","","","","","","","High-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2599300492","HUANG","Crystal","K","1","9/8/","146","3.53","20","6.3","43","1/18/","156","3.42","44","8.1","56","150.00","4","10","5.1","6","Yes*","1.18","74","68.9","92.2","19","13","50","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Winter 2025-2026","Winter 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2025 - Winter 2026","4","4","NONE","","2510819505","LEWIS","Leo","Y","1","9/15/","166","3.31","72","8.5","43","1/28/","177","3.31","91","3.0","74","170.00","4","11","4.9","7","Yes*","1.43","79","53.2","138.9","24","13","45","","","","","","High-G/High-A","High-G/High-A","50","50"
