"TermTested","TermRostered","DistrictName","SchoolName","Teacher","ClassName","Subject","Course","ASGType","NormsReferenceData","GrowthComparisonPeriod","WIStartTerm","WIEndTerm","OptionalGroupingCategory","OptionGroupingGroup","StudentID","StudentLastName","StudentFirstName","StudentMiddleInitial","StudentGrade","TestDate","StartRIT","StartRITSEM","StartPercentile","StartPercentileSE","StartTestDuration","EndTestDate","EndRIT","EndRITSEM","EndPercentile","EndPercentileSE","EndTestDuration","ProjectedRIT","ProjectedGrowth","ObservedGrowth","ObservedGrowthSE","GrowthIndex","MetGrowthProjection?","ConditionalGrowthIndex","ConditionalGrowthPercentile","PercentageofStudentswhoMetorExceededtheirProjectedRIT","PercentageofProjectedGrowthMet","CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","CountofStudentswhoMetorExceededtheirProjectedGrowth","MedianConditionalGrowthPercentile","OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedRIT","OptionalGroupingOverallPercentageofProjectedRITMet","OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth","OptionalGroupingMedianConditionalGrowthPercentile","StartGrowthandAchievement","EndGrowthandAchievement","ConditionalGrowthPercentileAxis","AchievementPercentileAxis"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2522304198","ALLEN","Victor","A","1","9/14/","139","3.56","9","4.2","86","9/7/","134","3.5","4","2.2","93","144.00","5","-5","5.5","-10","No*","-1.82","14","67.1","119.4","22","15","67","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2594970119","ALLEN","Zoe","T","1","","","","","","","9/12/","144","3.53","16","6.2","32","","","","","","","","","59.1","115.3","24","14","59","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2524636981","CAO","Amber","W","1","","","","","","","9/8/","163","3.5","64","5.1","71","","","","","","","","","61.4","135.3","20","12","47","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2522762205","CHENG","Claire","Y","1","9/4/","182","3.44","96","2.5","70","9/13/","192","3.39","99","2.0","88","189.00","7","10","5.5","3","Yes*","0.55","61","45.6","125.6","21","10","60","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2585776373","CLARK","Thomas","G","1","","","","","","","9/2/","165","3.57","69","6.2","111","","","","","","","","","69.0","178.7","18","12","41","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2529804386","GAO","Ryan","E","1","9/13/","163","3.36","64","4.9","50","9/4/","159","3.29","53","5.3","68","167.00","4","-4","5.2","-8","No*","-1.54","19","58.0","116.7","20","12","55","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2514114726","GARCIA","Calvin","G","1","","","","","","","9/10/","147","3.32","22","4.6","108","","","","","","","","","60.9","88.4","20","12","52","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2527013243","HU","Diana","C","1","9/6/","158","3.39","50","8.4","39","9/9/","170","3.44","80","6.9","101","164.00","6","12","5.2","6","Yes","1.15","73","48.1","109.4","24","12","69","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2599300492","HUANG","Crystal","K","1","9/15/","149","3.46","26","5.8","108","9/8/","151","3.25","31","6.6","48","153.00","4","2","5.1","-2","No","-0.39","42","52.9","89.9","16","8","60","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2510819505","LEWIS","Leo","Y","1","","","","","","","9/13/","168","3.59","76","8.9","61","","","","","","","","","58.7","99.1","21","12","60","","","","","","","High-A","50","50"
